model,threshold,validation_cost_5fn_plus_fp,precision,recall,f1,roc_auc,pr_auc_ap,tn,fp,fn,tp,false_positive_rate,false_negative_rate
XGBoost,0.25000000000000006,8466,0.35151015359241317,0.8868660598179454,0.5034696589399085,0.8842669780197445,0.7562430227399354,9864,6291,435,3410,0.3894150417827298,0.11313394018205461
XGBoost,0.30000000000000004,7332,0.4361658735554045,0.8343302990897269,0.5728571428571428,0.8842669780197445,0.7562430227399354,12008,4147,637,3208,0.2567007118539152,0.16566970091027308
XGBoost,0.3500000000000001,6543,0.5424964438122333,0.7934980494148245,0.6444186292111099,0.8842669780197445,0.7562430227399354,13582,2573,794,3051,0.15926957598266792,0.20650195058517556
XGBoost,0.40000000000000013,6210,0.6430924665056007,0.7615084525357607,0.697308883067397,0.8842669780197445,0.7562430227399354,14530,1625,917,2928,0.10058805323429279,0.23849154746423928
XGBoost,0.45000000000000007,6154,0.7017931712110047,0.7430429128738621,0.7218292066700354,0.8842669780197445,0.7562430227399354,14941,1214,988,2857,0.0751470133085732,0.25695708712613785
XGBoost,0.5000000000000001,6155,0.7405163329820864,0.7310793237971391,0.7357675696898311,0.8842669780197445,0.7562430227399354,15170,985,1034,2811,0.0609718353450944,0.26892067620286086
XGBoost,0.5500000000000002,6189,0.7628979143798024,0.7230169050715215,0.7424222192549071,0.8842669780197445,0.7562430227399354,15291,864,1065,2780,0.053481894150417826,0.27698309492847856
XGBoost,0.6000000000000002,6297,0.7780930760499433,0.7131339401820547,0.7441986701044918,0.8842669780197445,0.7562430227399354,15373,782,1103,2742,0.048406066233364284,0.2868660598179454
XGBoost,0.6500000000000001,6466,0.7933981727085175,0.7001300390117036,0.743851892788063,0.8842669780197445,0.7562430227399354,15454,701,1153,2692,0.04339213865676261,0.2998699609882965
XGBoost,0.7000000000000002,6778,0.817184070241455,0.6777633289986996,0.7409724196758601,0.8842669780197445,0.7562430227399354,15572,583,1239,2606,0.03608789848344166,0.3222366710013004
XGBoost,0.7500000000000002,7086,0.8267536704730832,0.6590377113133941,0.7334298118668596,0.8842669780197445,0.7562430227399354,15624,531,1311,2534,0.03286908077994429,0.340962288686606
XGBoost,0.8000000000000002,7186,0.8308507116848726,0.6527958387516255,0.7311389455286921,0.8842669780197445,0.7562430227399354,15644,511,1335,2510,0.03163107397090684,0.3472041612483745
XGBoost,0.8500000000000002,7472,0.8368114950393432,0.6361508452535761,0.7228132387706856,0.8842669780197445,0.7562430227399354,15678,477,1399,2446,0.029526462395543174,0.36384915474642393
XGBoost,0.9000000000000002,8547,0.8575310559006211,0.5745123537061119,0.6880548201214765,0.8842669780197445,0.7562430227399354,15788,367,1636,2209,0.022717424945837204,0.4254876462938882
